model_id,pair_id,observed_pages_n,mean_pangram_ai_percentage,median_pangram_ai_percentage,pages_at_least_50_percent_n
anthropic/claude-sonnet-4,archive.redstate.com,7,98.2468843460083,98.25561046600342,7
anthropic/claude-sonnet-4,hungryaustralian.com,10,97.06439673900604,99.61385726928711,10
anthropic/claude-sonnet-4,isa-global-dialogue.net,8,97.225421667099,99.81060326099396,8
anthropic/claude-sonnet-4,johnhawks.net,10,99.45932149887085,99.5989978313446,10
anthropic/claude-sonnet-4,makesmarttv.net,8,98.4929271042347,99.7411698102951,8
anthropic/claude-sonnet-4,mocoscribe.com,10,96.27085506916046,98.02286326885223,10
anthropic/claude-sonnet-4,news.xinhuanet.com,9,91.85774525006612,94.48098540306091,9
anthropic/claude-sonnet-4,sweaterted.blogspot.com,12,99.60738867521286,99.91034865379333,12
anthropic/claude-sonnet-4,takvera.blogspot.com,11,96.3003402406519,98.87709021568298,11
anthropic/claude-sonnet-4,thehouseofbelonging.com,10,99.83927488327026,99.89935159683228,10
anthropic/claude-sonnet-4,themarketingrobot.com,8,95.16416043043137,96.87633514404297,8
anthropic/claude-sonnet-4,thepeoplesmovies.com,7,91.80483818054199,95.39757370948792,7
anthropic/claude-sonnet-4,thepurloinedletter.blogspot.com,11,89.58691851552926,99.5423674583435,10
anthropic/claude-sonnet-4,thoughtsatoneinthemorning.blogspot.com,11,89.67257081679814,99.63133931159973,10
anthropic/claude-sonnet-4,tigersinwords.blogspot.com,12,96.36660764614741,97.80595004558563,12
anthropic/claude-sonnet-4,title-ix.blogspot.com,9,95.51958176824782,97.91520833969116,9
anthropic/claude-sonnet-4,tweezlereads.blogspot.com,8,89.94765058159828,89.57060277462006,8
anthropic/claude-sonnet-4,walking-on-fire.blogspot.com,14,98.95365238189697,99.65221881866455,14
anthropic/claude-sonnet-4,womenincrimeink.blogspot.com,14,97.60781952313015,98.36815595626831,14
anthropic/claude-sonnet-4,wordsuponwheels.blogspot.com,13,97.9578123642848,97.97664880752563,13
anthropic/claude-sonnet-4,writergrannysworld.blogspot.com,9,97.88835379812453,97.67662286758423,9
anthropic/claude-sonnet-4,www.eclatwatches.com,11,89.09428715705872,90.51543474197388,11
anthropic/claude-sonnet-4,www.gossipnet.com.au,4,91.46751314401627,92.42502450942993,4
anthropic/claude-sonnet-4,www.hudsonhouston.com,9,94.58892544110616,96.3960349559784,9
anthropic/claude-sonnet-4,www.isaactan.net,7,92.84366965293884,94.64417099952698,7
anthropic/claude-sonnet-4,www.mainstreamweekly.net,12,98.74843060970306,99.36534464359283,12
anthropic/claude-sonnet-4,www.workingstiffs.blogspot.com,13,89.35063072884147,99.27723407745361,12
anthropic/claude-sonnet-4,www.yankeeinn.com,9,92.60862403445773,94.74073648452759,9
anthropic/claude-sonnet-4,yogadragonden.blogspot.com,13,98.2207165314601,99.65867400169373,13
us.anthropic.claude-sonnet-4-6,ecotimber.com,13,98.20090715701764,98.607337474823,13
us.anthropic.claude-sonnet-4-6,edtechtimes.com,10,98.31567168235779,99.19740557670593,10
us.anthropic.claude-sonnet-4-6,jonmitchell.net,15,98.7218451499939,99.57612156867981,15
us.anthropic.claude-sonnet-4-6,stopandmove.blogspot.com,13,97.9233796779926,98.49963188171387,13
us.anthropic.claude-sonnet-4-6,surburbanculinaryadventures.blogspot.com,13,98.15367781198941,99.10025000572205,13
us.anthropic.claude-sonnet-4-6,teedysay.blogspot.com,14,97.77858597891671,99.63267147541046,14
us.anthropic.claude-sonnet-4-6,thaifilmjournal.blogspot.com,13,90.57084413980192,99.53945279121399,12
us.anthropic.claude-sonnet-4-6,thebookshelfmuse.blogspot.com,14,98.73784567628589,99.92786645889282,14
us.anthropic.claude-sonnet-4-6,thejosevilson.com,15,99.35658733050029,99.7066855430603,15
us.anthropic.claude-sonnet-4-6,thisblogreallystinksperfume.blogspot.com,14,99.32071609156472,99.95409548282623,14
us.anthropic.claude-sonnet-4-6,tommyholland.blogspot.com,15,92.58250000886619,99.71515536308289,14
us.anthropic.claude-sonnet-4-6,typem4murder.blogspot.com,15,98.42742204666138,99.14253950119019,15
us.anthropic.claude-sonnet-4-6,vovinyl.blogspot.com,14,99.69172009399959,99.98403489589691,14
us.anthropic.claude-sonnet-4-6,whistlestopcooking.blogspot.com,14,91.63365069677118,99.09815192222595,13
us.anthropic.claude-sonnet-4-6,www.campusdaily.com.au,12,98.54150166114171,99.94971752166748,12
us.anthropic.claude-sonnet-4-6,www.ebookanoid.com,14,97.18014257294791,99.09907877445221,14
us.anthropic.claude-sonnet-4-6,www.edbatista.com,15,92.21423263848313,99.74831938743591,14
us.anthropic.claude-sonnet-4-6,www.eddigest.com,12,98.63631079594295,99.84557032585144,12
us.anthropic.claude-sonnet-4-6,www.erstebankliga.at,14,99.19434998716626,99.96155202388763,14
us.anthropic.claude-sonnet-4-6,www.hootholidays.com.au,15,96.22352600097656,98.8616406917572,15
us.anthropic.claude-sonnet-4-6,www.thelunchbelle.com,13,85.14198427550443,94.21372413635254,12
us.anthropic.claude-sonnet-4-6,www.tomandatticus.blogspot.com,15,97.37537503242493,99.82655048370361,15
us.anthropic.claude-sonnet-4-6,yourmorningcup.blogspot.com,14,97.96577308859143,99.34713840484619,14
