parent_id	parent_published	parent_title	result_id	system	version	claim	metric_scope	qualifying_basis	primary_source	artifact_status	disposition_code	disposition	source_card	class_definition
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:alert-v1.1	ALERT	v1.1	91.8% non-adversarial and 82.6% adversarial TPR at 5% FPR	RAID cross-domain Task 3 Tables 4-5	Non-adversarial fixed-FPR aggregate exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.42/	Primary system PDF preserved; training used four A6000 GPUs, but no trained Qwen/E5 classifier state is public.	retain_reject	The reported hardware establishes training feasibility only; adversarial accuracy, checkpoint absence, and missing inference timing block promotion.	Embedded source card E1	individually reviewed result fails one or more fixed evidence gates
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:alert-v1.2	ALERT	v1.2	99.5% TPR on News but 89.3% non-adversarial aggregate and 78.8% adversarial aggregate	RAID Task 3 Tables 4-5	One domain fixed-FPR cell exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.42/	Primary system PDF is preserved; no trained v1.2 state, threshold bundle, or inference timing is public.	retain_reject	A single high familiar-domain cell with sub-0.90 official aggregates and no frozen state cannot establish transfer or near-Binoculars speed.	Embedded source card E1	individually reviewed result fails one or more fixed evidence gates
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:binoculars	Binoculars	Task 3 baseline	99.1% TPR on zero-width attacks but 79.0% non-adversarial and 71.3% adversarial aggregates	RAID Task 3 Tables 4-5	One attack fixed-FPR cell exceeds 0.90	https://arxiv.org/abs/2401.12070	Primary paper and official public implementation are preserved and already assessed as the incumbent control.	existing_control	The isolated attack cell does not supersede the frozen same-host DW1 evidence and remains beside weak official aggregates.	Embedded source card E1	already assessed public method retained only as a control
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:cnlp-adv-new-detector	CNLP-NITS-PP Adv.-New-Detector	Task 3 submission	91.0% TPR on Recipes but 35.3% non-adversarial and 31.7% adversarial aggregates	RAID Task 3 Tables 4-5	One domain fixed-FPR cell exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.38/	Primary system PDF is preserved; no submitted checkpoint is public and the described pipeline conditionally normalizes or rewrites targets.	exclude_rewriting	The pipeline violates the no-rewriting boundary and the one high domain cell coexists with unusable official aggregates.	Embedded source card E1	inference rewrites or normalizes the target text
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:cnlp-adv-submission-3	CNLP-NITS-PP Adv.-submission-3	Task 3 submission	94.0% TPR on Recipes but 46.7% non-adversarial and 41.6% adversarial aggregates	RAID Task 3 Tables 4-5	One domain fixed-FPR cell exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.38/	Primary system PDF is preserved; no submitted checkpoint is public and the described pipeline conditionally normalizes or rewrites targets.	exclude_rewriting	The target-transformation pipeline violates the method gate, and the isolated high cell masks near-chance aggregate performance.	Embedded source card E1	inference rewrites or normalizes the target text
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:cnlp-nits-distilbert	CNLP-NITS-PP DistilBERT	Task 3 submission	90.5% non-adversarial and 41.6% adversarial TPR at 5% FPR	RAID cross-domain Task 3 Tables 4-5	Non-adversarial fixed-FPR aggregate exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.38/	Primary system PDF preserved; no trained state or reproducible inference package is public.	exclude_rewriting	The pipeline first predicts an attack and then normalizes or rewrites the target; it also collapses under attacks and violates the fixed method boundary.	Embedded source card E1	inference rewrites or normalizes the target text
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:gltr	GLTR	Task 3 baseline	97.2% TPR on zero-width attacks but 59.7% non-adversarial and 53.5% adversarial aggregates	RAID Task 3 Tables 4-5	One attack fixed-FPR cell exceeds 0.90	https://aclanthology.org/P19-3019/	Primary paper and public code are available; this older token-rank score has no new Task 3 state or threshold package.	existing_control	The isolated zero-width cell and weak aggregates add no newest detector, transfer, calibration, or speed evidence.	Embedded source card E1	already assessed public method retained only as a control
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:leidos-v1.0.1	Leidos	v1.0.1	99.1% non-adversarial and 95.7% adversarial TPR at 5% FPR	RAID cross-domain Task 3 Tables 4-5	Both fixed-FPR aggregates exceed 0.90	https://aclanthology.org/2025.genaidetect-1.39/	Primary system PDF preserved; no official trained checkpoint or detector repository was found.	retain_reject	The fourth Leidos version remains individually visible but lacks a reproducible detector state and like-for-like speed evidence.	Embedded source card E1	individually reviewed result fails one or more fixed evidence gates
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:leidos-v1.0.2	Leidos	v1.0.2	99.3% non-adversarial and 97.7% adversarial TPR at 5% FPR	RAID cross-domain Task 3 Tables 4-5	Both fixed-FPR aggregates exceed 0.90	https://aclanthology.org/2025.genaidetect-1.39/	Primary system PDF preserved; no official trained checkpoint or detector repository was found.	retain_reject	This version ties the adversarial lead but is not the non-adversarial winner and has no public state or comparable A6000 timing.	Embedded source card E1	individually reviewed result fails one or more fixed evidence gates
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:leidos-v1.0.3	Leidos	v1.0.3	99.4% non-adversarial and 97.2% adversarial TPR at 5% FPR	RAID cross-domain Task 3 Tables 4-5	Both fixed-FPR aggregates exceed 0.90	https://aclanthology.org/2025.genaidetect-1.39/	Primary system PDF preserved; no official trained checkpoint or detector repository was found.	retain_reject	Four DistilRoBERTa variants share a paper, but v1.0.3 has its own score row and lacks cross-distribution, timing, and frozen-state evidence.	Embedded source card E1	individually reviewed result fails one or more fixed evidence gates
