parent_id	result_id
2501.08913	2501.08913:leidos-v1.0.3
2501.08913	2501.08913:leidos-v1.0.2
2501.08913	2501.08913:leidos-v1.0.4
2501.08913	2501.08913:leidos-v1.0.1
2501.08913	2501.08913:pangram
2501.08913	2501.08913:ustc-bupt-r-l-focal-loss
2501.08913	2501.08913:alert-v1.1
2501.08913	2501.08913:cnlp-nits-distilbert
2605.20761	2605.20761:sarang
2605.20761	2605.20761:dakiet
2605.20761	2605.20761:tesla
2605.20761	2605.20761:skdu
2605.20761	2605.20761:drocks
2605.20761	2605.20761:llama-mamba
2605.20761	2605.20761:ai-blues
2605.20761	2605.20761:nlp-great
2605.15518	2605.15518:x-rob-classifier
2605.15518	2605.15518:mdeberta-classifier
2606.04906	2606.04906:pangram
2606.04906	2606.04906:gptzero
2604.11796	2604.11796:lapd
2604.11796	2604.11796:remodetect
2604.11796	2604.11796:roberta-base
2604.11796	2604.11796:roberta-large
2604.11796	2604.11796:imbd
2603.27949	2603.27949:qwen-lora
2603.27949	2603.27949:qwen-lora-extreme-short
2603.27949	2603.27949:qwen-lora-short
2603.27949	2603.27949:ensemjudge
2603.18750	2603.18750:mobilenet-cnn
2603.18750	2603.18750:gptzero-dten
2603.18750	2603.18750:cnn1d-artmh
2603.18750	2603.18750:mlp-artmh
2603.18750	2603.18750:zerogpt-artmh
2603.18750	2603.18750:gptzero-artmh
2603.18750	2603.18750:quillbot-artmh
2603.18750	2603.18750:originality-artmh
2603.18750	2603.18750:sapling-artmh
2603.18750	2603.18750:isgen-artmh
2512.21709	2512.21709:xlm-roberta-large
2512.21709	2512.21709:mdeberta-v3-base
2512.21709	2512.21709:banglabert-base
2512.21709	2512.21709:multilingual-bert
2512.09292	2512.09292:glimpse
2512.09292	2512.09292:binoculars
2512.09292	2512.09292:desklib
2510.19492	2510.19492:loss
2510.19492	2510.19492:logrank
2510.19492	2510.19492:min-k
2510.19492	2510.19492:min-k-plus-plus
2510.19492	2510.19492:fastdetectgpt
2510.19492	2510.19492:binoculars
2510.19492	2510.19492:detectllm
2510.19492	2510.19492:lastde-plus-plus
2510.16573	2510.16573:mdeberta-v3-base
2510.03502	2510.03502:arabertv2-large
2510.03502	2510.03502:araelectra
2510.03502	2510.03502:arabertv2-base
2510.03502	2510.03502:xlm-r-large
2510.03502	2510.03502:asafaya-bert-large
2510.03502	2510.03502:xlm-r-base
2510.03502	2510.03502:marbert
2510.03502	2510.03502:asafaya-bert-base
2510.03502	2510.03502:arberv2
2510.03502	2510.03502:google-mbert
2510.03502	2510.03502:linearsvc
2510.03502	2510.03502:logistic-regression
2510.03502	2510.03502:random-forest
2509.26051	2509.26051:llama-3.2-3b
2509.26051	2509.26051:mdeberta-v3-base
2509.26051	2509.26051:gemma-2-2b
2509.26051	2509.26051:xlm-roberta-base
2509.26051	2509.26051:llama-news-hr-hu-cs
2509.26051	2509.26051:llama-tpr-pl
2509.26051	2509.26051:mdeberta-generator-de-pl-hr-hu-cs
2509.26051	2509.26051:mdeberta-news-cs
2509.26051	2509.26051:mdeberta-social-de
2509.26051	2509.26051:mdeberta-tpr-de-pl-hr-hu
2509.26051	2509.26051:gemma-social-de-pl-hr-hu-cs
2509.26051	2509.26051:gemma-tpr-de-pl-hr-hu
2509.26051	2509.26051:xlm-social-de-pl
2509.26051	2509.26051:xlm-tpr-de-cs
2509.21269	2509.21269:english-only
2509.21269	2509.21269:russian-only
2509.21269	2509.21269:bilingual
2507.15286	2507.15286:binoculars
2507.15286	2507.15286:fastdetectgpt
2507.15286	2507.15286:radar
2504.11369	2504.11369:log-l
2504.11369	2504.11369:log-r
2504.11369	2504.11369:gltr
2504.11369	2504.11369:lrr
2504.11369	2504.11369:lm-d
2504.11369	2504.11369:detective
2504.11369	2504.11369:otbdetector
2503.15044	2503.15044:roberta
2503.15044	2503.15044:mlp
2503.15044	2503.15044:xgboost
2503.15044	2503.15044:logistic-regression
2503.15044	2503.15044:svm
2503.15044	2503.15044:random-forest
2502.15654	2502.15654:roberta
2502.15654	2502.15654:deberta-v3
2502.15654	2502.15654:modernbert
2502.15654	2502.15654:mage-longformer
2502.12611	2502.12611:binoculars
2604.16607	2604.16607:binoculars
2604.16607	2604.16607:fdg-gpt-neo
2604.16607	2604.16607:fdg-gpt-j
2604.16607	2604.16607:fdg-falcon-7b
2604.16607	2604.16607:zippy-lzma
2604.16607	2604.16607:zippy-ensemble
2604.16607	2604.16607:biscope-arxiv
2604.16607	2604.16607:biscope-yelp
2604.16607	2604.16607:biscope-essay
2604.16607	2604.16607:biscope-creative
2604.16607	2604.16607:detective-mage
2604.16607	2604.16607:detective-m4gt
2604.16607	2604.16607:detective-outfox
2604.16607	2604.16607:detective-turingbench
2604.16607	2604.16607:roberta-h3c-plus
2604.16607	2604.16607:roberta-m4gt
2604.16607	2604.16607:roberta-mage
2604.16607	2604.16607:roberta-raid
2604.16607	2604.16607:stylo-h3c-plus
2604.16607	2604.16607:mcgovern-h3c-plus
2604.16607	2604.16607:mcgovern-m4gt
2604.16607	2604.16607:mcgovern-mage
2510.12476	2510.12476:lastde
2510.12476	2510.12476:lastde-plus-plus
2510.12476	2510.12476:log-likelihood
2510.12476	2510.12476:logrank
2510.12476	2510.12476:detect-lrr
2510.12476	2510.12476:fastdetectgpt
2510.12476	2510.12476:roberta-m4
2510.12476	2510.12476:detective-m4
2505.24523	2505.24523:mage
2505.24523	2505.24523:radar
2505.24523	2505.24523:binoculars
2505.24523	2505.24523:svm
2505.24523	2505.24523:roberta
2501.11012	2501.11012:english-advacheck
2501.11012	2501.11012:english-unibuc-nlp
2501.11012	2501.11012:english-fraunhofer-sit
2501.11012	2501.11012:english-grape
2501.11012	2501.11012:english-techexperts-ipn
2501.11012	2501.11012:english-turquaz
2501.11012	2501.11012:english-szegedai
2501.11012	2501.11012:english-aaig
2501.11012	2501.11012:english-dcbu
2501.11012	2501.11012:english-alfa
2501.11012	2501.11012:english-l3i-plus-plus
2501.11012	2501.11012:english-luxveri
2501.11012	2501.11012:english-azlearning
2501.11012	2501.11012:english-honghanhh
2501.11012	2501.11012:english-baseline
2501.11012	2501.11012:english-vx1291
2501.11012	2501.11012:english-rockstart
2501.11012	2501.11012:multilingual-grape
2501.11012	2501.11012:multilingual-rockstart
2501.11012	2501.11012:multilingual-nota-ai
2501.11012	2501.11012:multilingual-luxveri
2501.11012	2501.11012:multilingual-baseline
2501.11012	2501.11012:multilingual-techexperts-ipn
2501.11012	2501.11012:multilingual-azlearning
2501.11012	2501.11012:multilingual-nampfiev1995
2501.11012	2501.11012:multilingual-starlight1
2501.11012	2501.11012:multilingual-abit7431
2501.11012	2501.11012:multilingual-fraunhofer-sit
2501.11012	2501.11012:multilingual-mail6djj
2501.11012	2501.11012:multilingual-saehyunma
2501.11012	2501.11012:multilingual-seven
2501.11012	2501.11012:multilingual-jojoc
2501.11012	2501.11012:multilingual-yaoxy
2501.11012	2501.11012:multilingual-bennben
2501.11012	2501.11012:multilingual-fangsifan
2501.11012	2501.11012:multilingual-yuwert777
2501.11012	2501.11012:multilingual-honghanhh
2501.11012	2501.11012:multilingual-tmarchitan
2501.11012	2501.11012:multilingual-sohailwaleed2
2501.09813	2501.09813:qwen2.5-0.5b
2510.16573	2510.16573:distilbert-multilingual
2510.16573	2510.16573:xlm-roberta-base
2502.12611	2502.12611:fastdetectgpt
2502.12611	2502.12611:detectgpt
2502.12611	2502.12611:gltr
