parent_id	account_id	resolution_kind	target_id
2608.03859	2608.03859:pan12-ngram	primary_result	2608.03859:pan12-ngram
2608.03859	2608.03859:bm25-pair	primary_result	2608.03859:bm25-pair
2608.03859	2608.03859:linq-cosine	primary_result	2608.03859:linq-cosine
2608.03859	2608.03859:plagbench-zero	primary_result	2608.03859:plagbench-zero
2608.03859	2608.03859:plagbench-zero-cot	primary_result	2608.03859:plagbench-zero-cot
2608.03859	2608.03859:plagbench-few	primary_result	2608.03859:plagbench-few
2608.03859	2608.03859:plagbench-few-cot	primary_result	2608.03859:plagbench-few-cot
2608.03859	2608.03859:scdg-qwen-avg	primary_result	2608.03859:scdg-qwen-avg
2608.03859	2608.03859:scdg-qwen-topq	primary_result	2608.03859:scdg-qwen-topq
2608.03859	2608.03859:scdg-ministral-avg	primary_result	2608.03859:scdg-ministral-avg
2608.03859	2608.03859:scdg-ministral-topq	primary_result	2608.03859:scdg-ministral-topq
2608.03859	2608.03859:scdg-llama-avg	primary_result	2608.03859:scdg-llama-avg
2608.03859	2608.03859:scdg-llama-topq	primary_result	2608.03859:scdg-llama-topq
2608.03859	2608.03859:bm25-full	primary_result	2608.03859:bm25-full
2608.03859	2608.03859:bm25-sentence	primary_result	2608.03859:bm25-sentence
2608.03859	2608.03859:bge-m3-full	primary_result	2608.03859:bge-m3-full
2608.03859	2608.03859:bge-m3-sentence	primary_result	2608.03859:bge-m3-sentence
2608.03859	2608.03859:four-way-combsum	primary_result	2608.03859:four-way-combsum
2608.03859	2608.03859:linq-sentence-chunk	primary_result	2608.03859:linq-sentence-chunk
2608.03859	2608.03859:three-route-rrf	primary_result	2608.03859:three-route-rrf
2608.03859	2608.03859:rrf-scdg	primary_result	2608.03859:rrf-scdg
2608.03859	2608.03859:daac	primary_result	2608.03859:daac
2608.03859	2608.03859:daac-scdg	primary_result	2608.03859:daac-scdg
2608.01046	2608.01046:deberta-finetuned	primary_result	2608.01046:deberta-finetuned
2608.01046	2608.01046:roberta-finetuned	primary_result	2608.01046:roberta-finetuned
2608.01046	2608.01046:tfidf-logreg	primary_result	2608.01046:tfidf-logreg
2608.01046	2608.01046:deberta-zeroshot	primary_result	2608.01046:deberta-zeroshot
2607.22026	2607.22026:multilevel-energy	primary_result	2607.22026:multilevel-energy
2607.22026	2607.22026:energy-norm	primary_result	2607.22026:energy-norm
2607.22026	2607.22026:window-std	primary_result	2607.22026:window-std
2607.22026	2607.22026:equal-hard	primary_result	2607.22026:equal-hard
