parent_id	account_id	system	account_kind	evidence_locator	qualifying_evidence
2608.03859	2608.03859:pan12-ngram	PAN12 character n-gram plagiarism detector	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:bm25-pair	BM25 pair classifier	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:linq-cosine	Linq cosine similarity	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:plagbench-zero	PlagBench zero-shot vanilla	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:plagbench-zero-cot	PlagBench zero-shot chain-of-thought	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:plagbench-few	PlagBench few-shot vanilla	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:plagbench-few-cot	PlagBench few-shot chain-of-thought	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:scdg-qwen-avg	SCDG Qwen3-8B average aggregation	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:scdg-qwen-topq	SCDG Qwen3-8B top-q aggregation	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:scdg-ministral-avg	SCDG Ministral-8B average aggregation	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:scdg-ministral-topq	SCDG Ministral-8B top-q aggregation	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:scdg-llama-avg	SCDG Llama-3.1-8B average aggregation	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:scdg-llama-topq	SCDG Llama-3.1-8B top-q aggregation	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:bm25-full	BM25 full-document retrieval	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:bm25-sentence	BM25 sentence retrieval	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:bge-m3-full	BGE-M3 full-document retrieval	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:bge-m3-sentence	BGE-M3 sentence retrieval	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:four-way-combsum	Four-way CombSUM retrieval	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:linq-sentence-chunk	Linq sentence-to-chunk retrieval	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:three-route-rrf	Three-route reciprocal-rank fusion	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:rrf-scdg	Reciprocal-rank fusion plus SCDG	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:daac	DAAC retrieval	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.03859	2608.03859:daac-scdg	DAAC plus SCDG	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection
2608.01046	2608.01046:deberta-finetuned	Fine-tuned DeBERTa-Sentinel	primary_result	Primary PDF full text and all main/appendix result tables	main comparison and class tables; fine-tuned DeBERTa AUC 0.9953/F1 0.976, RoBERTa F1 0.953, TF-IDF+LogReg AUC 0.936, and zero-shot DeBERTa machine recall above 0.90 despite poor balance
