parent_id	result_id	system	version	claim	metric_scope	qualifying_basis	primary_source	artifact_status	disposition_code	disposition	source_card
2608.03859	2608.03859:pan12-ngram	PAN12 character n-gram plagiarism detector	PAN12 character n-gram plagiarism detector	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Named submitted/proposed/fitted configuration with a threshold metric or explicit high-performance result in the cited full-text table scope.	https://arxiv.org/abs/2608.03859	The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	reject_scope	named plagiarism classifier, source-conditioned description-gain scorer, or source-retrieval/reranking pipeline. The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	Full-text source 2608.03859
2608.03859	2608.03859:bm25-pair	BM25 pair classifier	BM25 pair classifier	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Named submitted/proposed/fitted configuration with a threshold metric or explicit high-performance result in the cited full-text table scope.	https://arxiv.org/abs/2608.03859	The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	reject_scope	named plagiarism classifier, source-conditioned description-gain scorer, or source-retrieval/reranking pipeline. The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	Full-text source 2608.03859
2608.03859	2608.03859:linq-cosine	Linq cosine similarity	Linq cosine similarity	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Named submitted/proposed/fitted configuration with a threshold metric or explicit high-performance result in the cited full-text table scope.	https://arxiv.org/abs/2608.03859	The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	reject_scope	named plagiarism classifier, source-conditioned description-gain scorer, or source-retrieval/reranking pipeline. The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	Full-text source 2608.03859
2608.03859	2608.03859:plagbench-zero	PlagBench zero-shot vanilla	PlagBench zero-shot vanilla	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Named submitted/proposed/fitted configuration with a threshold metric or explicit high-performance result in the cited full-text table scope.	https://arxiv.org/abs/2608.03859	The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	reject_scope	named plagiarism classifier, source-conditioned description-gain scorer, or source-retrieval/reranking pipeline. The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	Full-text source 2608.03859
2608.03859	2608.03859:plagbench-zero-cot	PlagBench zero-shot chain-of-thought	PlagBench zero-shot chain-of-thought	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Named submitted/proposed/fitted configuration with a threshold metric or explicit high-performance result in the cited full-text table scope.	https://arxiv.org/abs/2608.03859	The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	reject_scope	named plagiarism classifier, source-conditioned description-gain scorer, or source-retrieval/reranking pipeline. The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	Full-text source 2608.03859
2608.03859	2608.03859:plagbench-few	PlagBench few-shot vanilla	PlagBench few-shot vanilla	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Named submitted/proposed/fitted configuration with a threshold metric or explicit high-performance result in the cited full-text table scope.	https://arxiv.org/abs/2608.03859	The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	reject_scope	named plagiarism classifier, source-conditioned description-gain scorer, or source-retrieval/reranking pipeline. The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	Full-text source 2608.03859
2608.03859	2608.03859:plagbench-few-cot	PlagBench few-shot chain-of-thought	PlagBench few-shot chain-of-thought	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Named submitted/proposed/fitted configuration with a threshold metric or explicit high-performance result in the cited full-text table scope.	https://arxiv.org/abs/2608.03859	The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	reject_scope	named plagiarism classifier, source-conditioned description-gain scorer, or source-retrieval/reranking pipeline. The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	Full-text source 2608.03859
2608.03859	2608.03859:scdg-qwen-avg	SCDG Qwen3-8B average aggregation	SCDG Qwen3-8B average aggregation	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Named submitted/proposed/fitted configuration with a threshold metric or explicit high-performance result in the cited full-text table scope.	https://arxiv.org/abs/2608.03859	The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	reject_scope	named plagiarism classifier, source-conditioned description-gain scorer, or source-retrieval/reranking pipeline. The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	Full-text source 2608.03859
2608.03859	2608.03859:scdg-qwen-topq	SCDG Qwen3-8B top-q aggregation	SCDG Qwen3-8B top-q aggregation	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Named submitted/proposed/fitted configuration with a threshold metric or explicit high-performance result in the cited full-text table scope.	https://arxiv.org/abs/2608.03859	The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	reject_scope	named plagiarism classifier, source-conditioned description-gain scorer, or source-retrieval/reranking pipeline. The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	Full-text source 2608.03859
2608.03859	2608.03859:scdg-ministral-avg	SCDG Ministral-8B average aggregation	SCDG Ministral-8B average aggregation	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Tables 1-2; every listed plagiarism detector, source-conditioned description-gain state, or retrieval/reranking state has a reported score >=0.90 on a plagiarism or source-retrieval metric, not general AI-text detection	Named submitted/proposed/fitted configuration with a threshold metric or explicit high-performance result in the cited full-text table scope.	https://arxiv.org/abs/2608.03859	The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	reject_scope	named plagiarism classifier, source-conditioned description-gain scorer, or source-retrieval/reranking pipeline. The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	Full-text source 2608.03859
