rank	title	url
0	Too Simple or Too Complex? Using Linguistic Signatures for AI-Generated Text Detection	https://link.springer.com/chapter/10.1007/978-3-032-31404-8_33
1	DeBERTa-Sentinel: Toward Transparent and Trustworthy Detection of AI-Generated Text	https://arxiv.org/abs/2608.01046
2	[PDF][PDF] The Influence of Fraudulent AI-Generated Responses on Software Engineering Surveys	https://www.researchgate.net/profile/Ronnie-De-Souza-Santos/publication/410837073_The_Influence_of_Fraudulent_AI-Generated_Responses_on_Software_Engineering_Surveys/links/6a665b7ca4d94b202f2240d6/The-Influence-of-Fraudulent-AI-Generated-Responses-on-Software-Engineering-Surveys.pdf
3	[PDF][PDF] GigaCheck: Detecting LLM-generated Content via Object-Centric Span Localization	https://aclanthology.org/anthology-files/pdf/findings/2026.findings-acl.213.pdf
4	The Influence of Fraudulent AI-Generated Responses on Software Engineering Surveys	https://arxiv.org/abs/2607.23805
5	[HTML][HTML] An Explainable Machine Learning Framework with BERT for Multi-Source AI-Generated Text Classification	https://www.sciencedirect.com/science/article/pii/S2772503026000617
6	Reinforcement-Guided Adaptive Manifold Perturbation Framework for Robust AI-Generated Text Detection	https://ieeexplore.ieee.org/abstract/document/11623410/
7	Dialectical Analysis and Developmental Considerations of the'Cat-and-Mouse Game'in AI-Generated Text Detection	https://dl.acm.org/doi/abs/10.1145/3828734
8	Detecting AI-generated academic language in recently published research articles: a corpus-based linguistic analysis	https://link.springer.com/article/10.1007/s43681-026-01284-z
9	Team DACTYL at PAN 2026: Bayesian Data Mixing and Empirical X-risk Minimization for AI-text Detection	https://arxiv.org/abs/2607.17382
