#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260814    13:01:24       0      0      1      0      0      0      0      0      0      0 
 20260814    13:01:24       1      0      1      0      2      0      0      0      0      0 
 20260814    13:01:25       0      0      1      0      0      0      0      0      0      0 
 20260814    13:01:25       1      0      1      0      0      0      0      0      0      0 
 20260814    13:01:26       0      0      1      0      0      0      0      0      0      0 
 20260814    13:01:26       1      0      1      0      0      0      0      0      0      0 
 20260814    13:01:27       0      0      1      0      0      0      0      0      0      0 
 20260814    13:01:27       1      0      1      0      0      0      0      0      0      0 
 20260814    13:01:28       0      0      1      0      0      0      0      0      0      0 
 20260814    13:01:28       1      0      1      0      0      0      0      0      0      0 
 20260814    13:01:29       0      0      1      0      0      0      0      0      0      0 
 20260814    13:01:29       1      0      1      0      0      0      0      0      0      0 
 20260814    13:01:30       0      0      1      0      0      0      0      0      0      0 
 20260814    13:01:30       1      0      1      0      0      0      0      0      0      0 
 20260814    13:01:31       0      0      1      0      0      0      0      0      0      0 
 20260814    13:01:31       1      0      1      0      0      0      0      0      0      0 
 20260814    13:01:32       0      0      1      0      0      0      0      0      0      0 
 20260814    13:01:32       1      0      1      0      0      0      0      0      0      0 
 20260814    13:01:33       0      0      1      0      0      0      0      0      0      0 
 20260814    13:01:33       1      0      1      0      0      0      0      0      0      0 
 20260814    13:01:34       0      0      1      0      0      0      0      0      0      0 
 20260814    13:01:34       1      0      1      0      0      0      0      0      0      0 
 20260814    13:01:35       0      0      1      0      0      0      0      0      0      0 
 20260814    13:01:35       1      0      1      0      0      0      0      0      0      0 
 20260814    13:01:36       0      0      1      0      0      0      0      0      0      0 
 20260814    13:01:36       1      0      1      0      0      0      0      0      0      0 
 20260814    13:01:37       0      0      1      0      0      0      0      0      0      0 
 20260814    13:01:37       1      0      1      0      0      0      0      0      0      0 
 20260814    13:01:38       0      3      2      0      0      0      0      0      0      0 
 20260814    13:01:38       1      1      1      0      0      0      0      0      0      0 
 20260814    13:01:39       0   2263      4      0      6      0      0      0      0      0 
 20260814    13:01:39       1      3      2      0      0      0      0      0      0      0 
 20260814    13:01:40       0   2263      4      0      0      0      0      0      0      0 
 20260814    13:01:40       1   2263      4      0     12      3      0      0      0      0 
 20260814    13:01:41       0  16319      4      0      1      0      0      0      0      0 
 20260814    13:01:41       1   6823      4      0      3      2      0      0      0      0 
 20260814    13:01:42       0  16319      4      0    100     87      0      0      0      0 
 20260814    13:01:42       1   6823      4      0    100     79      0      0      0      0 
 20260814    13:01:43       0  35305      4      0     46     54      0      0      0      0 
 20260814    13:01:43       1  35303      4      0    100     59      0      0      0      0 
 20260814    13:01:44       0  35305      4      0    100     90      0      0      0      0 
 20260814    13:01:44       1  35303      4      0    100     94      0      0      0      0 
 20260814    13:01:45       0  35305      4      0    100     62      0      0      0      0 
 20260814    13:01:45       1  35303      4      0    100     60      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260814    13:01:46       0  35305      4      0    100     90      0      0      0      0 
 20260814    13:01:46       1  35303      4      0    100     85      0      0      0      0 
 20260814    13:01:47       0  35305      4      0    100     62      0      0      0      0 
 20260814    13:01:47       1  35303      4      0    100     60      0      0      0      0 
 20260814    13:01:48       0  35305      4      0    100     89      0      0      0      0 
 20260814    13:01:48       1  35303      4      0    100     90      0      0      0      0 
 20260814    13:01:49       0  35305      4      0    100     62      0      0      0      0 
 20260814    13:01:49       1  35303      4      0    100     60      0      0      0      0 
 20260814    13:01:50       0  35305      4      0    100     84      0      0      0      0 
 20260814    13:01:50       1  35303      4      0    100     87      0      0      0      0 
 20260814    13:01:51       0  35305      4      0    100     62      0      0      0      0 
 20260814    13:01:51       1  35303      4      0    100     60      0      0      0      0 
 20260814    13:01:52       0  35305      4      0    100     90      0      0      0      0 
 20260814    13:01:52       1  35303      4      0    100     84      0      0      0      0 
 20260814    13:01:53       0  35305      4      0    100     62      0      0      0      0 
 20260814    13:01:53       1  35303      4      0    100     73      0      0      0      0 
 20260814    13:01:54       0  35305      4      0    100     91      0      0      0      0 
