Progress(completed_rows=8, total_rows=4907, last_row_index=7)
Progress(completed_rows=16, total_rows=4907, last_row_index=15)
Progress(completed_rows=24, total_rows=4907, last_row_index=23)
Progress(completed_rows=32, total_rows=4907, last_row_index=31)
Progress(completed_rows=40, total_rows=4907, last_row_index=39)
Progress(completed_rows=48, total_rows=4907, last_row_index=47)
Progress(completed_rows=56, total_rows=4907, last_row_index=55)
Progress(completed_rows=64, total_rows=4907, last_row_index=63)
Progress(completed_rows=72, total_rows=4907, last_row_index=71)
Progress(completed_rows=80, total_rows=4907, last_row_index=79)
Progress(completed_rows=88, total_rows=4907, last_row_index=87)
Progress(completed_rows=96, total_rows=4907, last_row_index=95)
Progress(completed_rows=104, total_rows=4907, last_row_index=103)
Progress(completed_rows=112, total_rows=4907, last_row_index=111)
Progress(completed_rows=120, total_rows=4907, last_row_index=119)
Progress(completed_rows=128, total_rows=4907, last_row_index=127)
Progress(completed_rows=136, total_rows=4907, last_row_index=135)
Progress(completed_rows=144, total_rows=4907, last_row_index=143)
Progress(completed_rows=152, total_rows=4907, last_row_index=151)
Progress(completed_rows=160, total_rows=4907, last_row_index=159)
Progress(completed_rows=168, total_rows=4907, last_row_index=167)
Progress(completed_rows=176, total_rows=4907, last_row_index=175)
Progress(completed_rows=184, total_rows=4907, last_row_index=183)
Progress(completed_rows=192, total_rows=4907, last_row_index=191)
Progress(completed_rows=200, total_rows=4907, last_row_index=199)
Progress(completed_rows=208, total_rows=4907, last_row_index=207)
Progress(completed_rows=216, total_rows=4907, last_row_index=215)
Progress(completed_rows=224, total_rows=4907, last_row_index=223)
Progress(completed_rows=232, total_rows=4907, last_row_index=231)
Progress(completed_rows=240, total_rows=4907, last_row_index=239)
Progress(completed_rows=248, total_rows=4907, last_row_index=247)
Progress(completed_rows=256, total_rows=4907, last_row_index=255)
Progress(completed_rows=264, total_rows=4907, last_row_index=263)
Progress(completed_rows=272, total_rows=4907, last_row_index=271)
Progress(completed_rows=280, total_rows=4907, last_row_index=279)
Progress(completed_rows=288, total_rows=4907, last_row_index=287)
Progress(completed_rows=296, total_rows=4907, last_row_index=295)
Progress(completed_rows=304, total_rows=4907, last_row_index=303)
Progress(completed_rows=312, total_rows=4907, last_row_index=311)
Progress(completed_rows=320, total_rows=4907, last_row_index=319)
Progress(completed_rows=328, total_rows=4907, last_row_index=327)
Progress(completed_rows=336, total_rows=4907, last_row_index=335)
Progress(completed_rows=344, total_rows=4907, last_row_index=343)
Progress(completed_rows=352, total_rows=4907, last_row_index=351)
Progress(completed_rows=360, total_rows=4907, last_row_index=359)
Progress(completed_rows=368, total_rows=4907, last_row_index=367)
Progress(completed_rows=376, total_rows=4907, last_row_index=375)
Progress(completed_rows=384, total_rows=4907, last_row_index=383)
Progress(completed_rows=392, total_rows=4907, last_row_index=391)
Progress(completed_rows=400, total_rows=4907, last_row_index=399)
Progress(completed_rows=408, total_rows=4907, last_row_index=407)
Progress(completed_rows=416, total_rows=4907, last_row_index=415)
Progress(completed_rows=424, total_rows=4907, last_row_index=423)
Progress(completed_rows=432, total_rows=4907, last_row_index=431)
Progress(completed_rows=440, total_rows=4907, last_row_index=439)
Progress(completed_rows=448, total_rows=4907, last_row_index=447)
Progress(completed_rows=456, total_rows=4907, last_row_index=455)
Progress(completed_rows=464, total_rows=4907, last_row_index=463)
Progress(completed_rows=472, total_rows=4907, last_row_index=471)
Progress(completed_rows=480, total_rows=4907, last_row_index=479)
Progress(completed_rows=488, total_rows=4907, last_row_index=487)
Progress(completed_rows=496, total_rows=4907, last_row_index=495)
Progress(completed_rows=504, total_rows=4907, last_row_index=503)
Progress(completed_rows=512, total_rows=4907, last_row_index=511)
Progress(completed_rows=520, total_rows=4907, last_row_index=519)
Progress(completed_rows=528, total_rows=4907, last_row_index=527)
Progress(completed_rows=536, total_rows=4907, last_row_index=535)
Progress(completed_rows=544, total_rows=4907, last_row_index=547)
Progress(completed_rows=552, total_rows=4907, last_row_index=555)
Progress(completed_rows=560, total_rows=4907, last_row_index=563)
Progress(completed_rows=568, total_rows=4907, last_row_index=571)
Progress(completed_rows=576, total_rows=4907, last_row_index=579)
Progress(completed_rows=584, total_rows=4907, last_row_index=587)
Progress(completed_rows=592, total_rows=4907, last_row_index=595)
Progress(completed_rows=600, total_rows=4907, last_row_index=603)
Progress(completed_rows=608, total_rows=4907, last_row_index=611)
Progress(completed_rows=616, total_rows=4907, last_row_index=619)
Progress(completed_rows=624, total_rows=4907, last_row_index=627)
Progress(completed_rows=632, total_rows=4907, last_row_index=635)
Progress(completed_rows=640, total_rows=4907, last_row_index=643)
Progress(completed_rows=648, total_rows=4907, last_row_index=651)
Progress(completed_rows=656, total_rows=4907, last_row_index=659)
Progress(completed_rows=664, total_rows=4907, last_row_index=667)
Progress(completed_rows=672, total_rows=4907, last_row_index=675)
Progress(completed_rows=680, total_rows=4907, last_row_index=683)
Progress(completed_rows=688, total_rows=4907, last_row_index=691)
Progress(completed_rows=696, total_rows=4907, last_row_index=699)
Progress(completed_rows=704, total_rows=4907, last_row_index=707)
Progress(completed_rows=712, total_rows=4907, last_row_index=715)
Progress(completed_rows=720, total_rows=4907, last_row_index=723)
Progress(completed_rows=728, total_rows=4907, last_row_index=731)
Progress(completed_rows=736, total_rows=4907, last_row_index=739)
Progress(completed_rows=744, total_rows=4907, last_row_index=748)
Progress(completed_rows=752, total_rows=4907, last_row_index=756)
Progress(completed_rows=760, total_rows=4907, last_row_index=764)
Progress(completed_rows=768, total_rows=4907, last_row_index=772)
Progress(completed_rows=776, total_rows=4907, last_row_index=782)
Progress(completed_rows=784, total_rows=4907, last_row_index=790)
Progress(completed_rows=792, total_rows=4907, last_row_index=798)
Progress(completed_rows=800, total_rows=4907, last_row_index=806)
Progress(completed_rows=808, total_rows=4907, last_row_index=814)
Progress(completed_rows=816, total_rows=4907, last_row_index=822)
Progress(completed_rows=824, total_rows=4907, last_row_index=830)
Progress(completed_rows=832, total_rows=4907, last_row_index=838)
Progress(completed_rows=840, total_rows=4907, last_row_index=846)
Progress(completed_rows=848, total_rows=4907, last_row_index=854)
Progress(completed_rows=856, total_rows=4907, last_row_index=862)
Progress(completed_rows=864, total_rows=4907, last_row_index=870)
Progress(completed_rows=872, total_rows=4907, last_row_index=878)
Progress(completed_rows=880, total_rows=4907, last_row_index=886)
Progress(completed_rows=888, total_rows=4907, last_row_index=894)
Progress(completed_rows=896, total_rows=4907, last_row_index=902)
Progress(completed_rows=904, total_rows=4907, last_row_index=911)
Progress(completed_rows=912, total_rows=4907, last_row_index=919)
Progress(completed_rows=920, total_rows=4907, last_row_index=927)
Progress(completed_rows=928, total_rows=4907, last_row_index=936)
Progress(completed_rows=936, total_rows=4907, last_row_index=944)
Progress(completed_rows=944, total_rows=4907, last_row_index=952)
Progress(completed_rows=952, total_rows=4907, last_row_index=960)
Progress(completed_rows=960, total_rows=4907, last_row_index=968)
Progress(completed_rows=968, total_rows=4907, last_row_index=976)
Progress(completed_rows=976, total_rows=4907, last_row_index=984)
Progress(completed_rows=984, total_rows=4907, last_row_index=992)
Progress(completed_rows=992, total_rows=4907, last_row_index=1000)
Progress(completed_rows=1000, total_rows=4907, last_row_index=1008)
Progress(completed_rows=1008, total_rows=4907, last_row_index=1016)
Progress(completed_rows=1016, total_rows=4907, last_row_index=1024)
Progress(completed_rows=1024, total_rows=4907, last_row_index=1032)
Progress(completed_rows=1032, total_rows=4907, last_row_index=1040)
Progress(completed_rows=1040, total_rows=4907, last_row_index=1048)
Progress(completed_rows=1048, total_rows=4907, last_row_index=1056)
Progress(completed_rows=1056, total_rows=4907, last_row_index=1064)
Progress(completed_rows=1064, total_rows=4907, last_row_index=1072)
Progress(completed_rows=1072, total_rows=4907, last_row_index=1080)
Progress(completed_rows=1080, total_rows=4907, last_row_index=1088)
Progress(completed_rows=1088, total_rows=4907, last_row_index=1096)
Progress(completed_rows=1096, total_rows=4907, last_row_index=1104)
Progress(completed_rows=1104, total_rows=4907, last_row_index=1113)
Progress(completed_rows=1112, total_rows=4907, last_row_index=1121)
Progress(completed_rows=1120, total_rows=4907, last_row_index=1129)
Progress(completed_rows=1128, total_rows=4907, last_row_index=1137)
Progress(completed_rows=1136, total_rows=4907, last_row_index=1145)
Progress(completed_rows=1144, total_rows=4907, last_row_index=1153)
Progress(completed_rows=1152, total_rows=4907, last_row_index=1161)
Progress(completed_rows=1160, total_rows=4907, last_row_index=1169)
Progress(completed_rows=1168, total_rows=4907, last_row_index=1177)
Progress(completed_rows=1176, total_rows=4907, last_row_index=1185)
Progress(completed_rows=1184, total_rows=4907, last_row_index=1193)
Progress(completed_rows=1192, total_rows=4907, last_row_index=1201)
Progress(completed_rows=1200, total_rows=4907, last_row_index=1210)
Progress(completed_rows=1208, total_rows=4907, last_row_index=1218)
Progress(completed_rows=1216, total_rows=4907, last_row_index=1226)
Progress(completed_rows=1224, total_rows=4907, last_row_index=1235)
Progress(completed_rows=1232, total_rows=4907, last_row_index=1243)
Progress(completed_rows=1240, total_rows=4907, last_row_index=1251)
Progress(completed_rows=1248, total_rows=4907, last_row_index=1259)
Progress(completed_rows=1256, total_rows=4907, last_row_index=1267)
Progress(completed_rows=1264, total_rows=4907, last_row_index=1275)
Progress(completed_rows=1272, total_rows=4907, last_row_index=1283)
Progress(completed_rows=1280, total_rows=4907, last_row_index=1291)
Progress(completed_rows=1288, total_rows=4907, last_row_index=1299)
Progress(completed_rows=1296, total_rows=4907, last_row_index=1307)
Progress(completed_rows=1304, total_rows=4907, last_row_index=1315)
Progress(completed_rows=1312, total_rows=4907, last_row_index=1324)
Progress(completed_rows=1320, total_rows=4907, last_row_index=1332)
Progress(completed_rows=1328, total_rows=4907, last_row_index=1340)
Progress(completed_rows=1336, total_rows=4907, last_row_index=1348)
Progress(completed_rows=1344, total_rows=4907, last_row_index=1356)
Progress(completed_rows=1352, total_rows=4907, last_row_index=1364)
Progress(completed_rows=1360, total_rows=4907, last_row_index=1372)
Progress(completed_rows=1368, total_rows=4907, last_row_index=1380)
Progress(completed_rows=1376, total_rows=4907, last_row_index=1388)
Progress(completed_rows=1384, total_rows=4907, last_row_index=1396)
Progress(completed_rows=1392, total_rows=4907, last_row_index=1405)
Progress(completed_rows=1400, total_rows=4907, last_row_index=1413)
Progress(completed_rows=1408, total_rows=4907, last_row_index=1421)
Progress(completed_rows=1416, total_rows=4907, last_row_index=1429)
Progress(completed_rows=1424, total_rows=4907, last_row_index=1437)
Progress(completed_rows=1432, total_rows=4907, last_row_index=1445)
Progress(completed_rows=1440, total_rows=4907, last_row_index=1453)
Progress(completed_rows=1448, total_rows=4907, last_row_index=1461)
Progress(completed_rows=1456, total_rows=4907, last_row_index=1469)
Progress(completed_rows=1464, total_rows=4907, last_row_index=1477)
